id,correctAnswer
102501,C
102502,B
102503,B
102504,B
102505,D
102506,C
102507,A
102508,A
102509,C
102510,A
102511,C
102512,D
102513,C
102514,D
102515,A
102516,C
102517,C
102518,A
102519,B
102520,C
102521,B
102522,D
102523,C
102524,B
102525,C
102526,C
102527,C
102528,B
102529,A
102530,A
102531,A
102532,C
102533,C
102534,B
102535,B
102536,B
102537,C
102538,C
102539,C
102540,D
102541,C
102542,A
102543,A
102544,D
102545,C
102546,C
102547,B
102548,D
102549,C
102550,D
102551,D
102552,C
102553,C
102554,D
102555,D
102556,B
102557,D
102558,C
102559,C
102560,B
102561,D
102562,B
102563,B
102564,A
102565,C
102566,B
102567,C
102568,C
102569,B
102570,C
102571,B
102572,D
102573,A
102574,B
102575,D
102576,C
102577,C
102578,C
102579,B
102580,D
102581,A
102582,D
102583,A
102584,D
102585,A
102586,A
102587,B
102588,A
102589,A
102590,D
102591,B
102592,B
102593,D
102594,B
102595,C
102596,C
102597,C
102598,A
102599,B
102600,D
102601,D
102602,B
102603,A
102604,B
102605,B
102606,C
102607,A
102608,C
102609,D
102610,D
102611,B
102612,B
102613,C
102614,D
102615,C
102616,A
102617,B
102618,B
102619,D
102620,D
102621,B
102622,B
102623,A
102624,D
102625,C
102626,D
102627,D
102628,A
102629,D
102630,D
102631,A
102632,C
102633,C
102634,D
102635,C
102636,B
102637,B
102638,C
102639,A
102640,B
102641,D
102642,D
102643,C
102644,C
102645,D
102646,D
102647,C
102648,B
102649,A
102650,C
102651,A
102652,C
102653,D
102654,A
102655,B
102656,D
102657,C
102658,D
102659,A
102660,C
102661,C
102662,B
102663,C
102664,A
102665,A
102666,D
102667,A
102668,C
102669,A
102670,D
102671,A
102672,C
102673,B
102674,C
102675,A
102676,D
102677,A
102678,D
102679,D
102680,C
102681,D
102682,A
102683,B
102684,D
102685,B
102686,A
102687,C
102688,C
102689,C
102690,B
102691,B
102692,D
102693,C
102694,D
102695,B
102696,D
102697,B
102698,A
102699,A
102700,D
102701,D
102702,D
102703,D
102704,B
102705,C
102706,B
102707,C
102708,D
102709,A
102710,A
102711,B
102712,D
102713,D
102714,B
102715,C
102716,C
102717,D
102718,C
102719,A
102720,D
102721,B
102722,A
102723,C
102724,C
102725,A
102726,A
102727,B
102728,C
102729,D
102730,B
102731,B
102732,D
102733,D
102734,C
102735,C
102736,C
102737,D
102738,C
102739,A
102740,B
102741,B
102742,C
102743,D
102744,C
102745,D
102746,B
102747,B
102748,A
102749,A
102750,A
102751,B
102752,C
102753,A
102754,D
102755,A
102756,A
102757,C
102758,C
102759,D
102760,A
102761,B
102762,B
102763,C
102764,C
102765,D
102766,C
102767,B
102768,C
102769,D
102770,A
102771,C
102772,A
102773,B
102774,A
102775,C
102776,A
102777,D
102778,B
102779,A
102780,B
102781,A
102782,A
102783,C
102784,A
102785,C
102786,B
102787,B
102788,A
102789,D
102790,A
102791,A
102792,B
102793,C
102794,D
102795,C
102796,B
102797,C
102798,B
102799,D
102800,A
102801,D
102802,C
102803,C
102804,C
102805,B
102806,D
102807,A
102808,A
102809,C
102810,C
102811,B
102812,B
102813,A
102814,C
102815,A
102816,D
102817,B
102818,C
102819,B
102820,C
102821,D
102822,A
102823,A
102824,D
102825,C
102826,A
102827,B
102828,A
102829,B
102830,B
102831,D
102832,A
102833,D
102834,D
102835,C
102836,B
102837,C
102838,C
102839,C
102840,A
102841,A
102842,A
102843,C
102844,A
102845,D
102846,A
102847,A
102848,C
102849,C
102850,A
102851,A
102852,A
102853,A
102854,C
102855,C
102856,B
102857,B
102858,A
102859,C
102860,B
102861,D
102862,D
102863,C
102864,B
102865,C
102866,C
102867,B
102868,C
102869,C
102870,B
102871,B
102872,A
102873,C
102874,B
102875,D
102876,A
102877,C
102878,D
102879,C
102880,C
102881,B
102882,D
102883,B
102884,B
102885,D
102886,D
102887,D
102888,C
102889,B
102890,D
102891,B
102892,C
102893,B
102894,C
102895,D
102896,C
102897,A
102898,C
102899,B
102900,A
102901,C
102902,A
102903,D
102904,A
102905,D
102906,C
102907,A
102908,A
102909,A
102910,C
102911,D
102912,B
102913,A
102914,D
102915,C
102916,B
102917,A
102918,A
102919,D
102920,D
102921,C
102922,A
102923,C
102924,C
102925,B
102926,A
102927,B
102928,A
102929,B
102930,C
102931,D
102932,C
102933,C
102934,C
102935,D
102936,B
102937,C
102938,C
102939,A
102940,D
102941,D
102942,B
102943,C
102944,D
102945,C
102946,A
102947,B
102948,A
102949,C
102950,A
102951,A
102952,D
102953,B
102954,C
102955,A
102956,C
102957,B
102958,B
102959,D
102960,C
102961,D
102962,C
102963,D
102964,B
102965,B
102966,D
102967,B
102968,D
102969,C
102970,B
102971,B
102972,C
102973,D
102974,B
102975,C
102976,A
102977,A
102978,A
102979,D
102980,A
102981,C
102982,A
102983,D
102984,C
102985,B
102986,C
102987,A
102988,A
102989,B
102990,C
102991,D
102992,C
102993,C
102994,C
102995,B
102996,C
102997,D
102998,A
102999,B
103000,D
103001,D
103002,A
103003,D
103004,B
103005,B
103006,B
103007,D
103008,C
103009,C
103010,C
103011,A
103012,B
103013,D
103014,B
103015,C
103016,A
103017,B
103018,D
103019,B
103020,A
103021,A
103022,D
103023,C
103024,B
103025,B
103026,B
103027,A
103028,A
103029,C
103030,B
103031,D
103032,A
103033,A
103034,B
103035,A
103036,A
103037,C
103038,B
103039,B
103040,A
103041,A
103042,A
103043,B
103044,A
103045,C
103046,A
103047,A
103048,B
103049,D
103050,D
103051,A
103052,C
103053,D
103054,A
103055,B
103056,C
103057,C
103058,D
103059,C
103060,D
103061,C
103062,A
103063,B
103064,C
103065,A
103066,D
103067,C
103068,D
103069,D
103070,D
103071,C
103072,D
103073,C
103074,A
103075,A
103076,D
103077,B
103078,C
103079,D
103080,D
103081,C
103082,D
103083,B
103084,D
103085,D
103086,A
103087,A
103088,D
103089,B
103090,D
103091,B
103092,A
103093,B
103094,C
103095,C
103096,A
103097,A
103098,D
103099,B
103100,C
103101,D
103102,C
103103,D
103104,B
103105,C
103106,B
103107,B
103108,C
103109,A
103110,A
103111,D
103112,A
103113,C
103114,A
103115,A
103116,A
103117,B
103118,A
103119,C
103120,B
103121,C
103122,C
103123,D
103124,A
103125,A
103126,A
103127,C
103128,A
103129,C
103130,B
103131,B
103132,A
103133,A
103134,A
103135,A
103136,A
103137,A
103138,D
103139,B
103140,D
103141,D
103142,A
103143,C
103144,B
103145,C
103146,A
103147,C
103148,C
103149,C
103150,C
103151,B
103152,D
103153,B
103154,B
103155,C
103156,C
103157,A
103158,C
103159,B
103160,D
103161,C
103162,A
103163,B
103164,B
103165,A
103166,A
103167,A
103168,C
103169,B
103170,B
103171,D
103172,B
103173,B
103174,C
103175,C
103176,C
103177,C
103178,C
103179,B
103180,A
103181,A
103182,A
103183,A
103184,A
103185,C
103186,D
103187,A
103188,C
103189,D
103190,C
103191,A
103192,B
103193,A
103194,D
103195,A
103196,B
103197,B
103198,C
103199,D
103200,B
103201,B
103202,A
103203,B
103204,B
103205,A
103206,D
103207,B
103208,C
103209,B
103210,A
103211,C
103212,A
103213,A
103214,B
103215,A
103216,B
103217,A
103218,C
103219,D
103220,D
103221,D
103222,C
103223,D
103224,A
103225,A
103226,D
103227,B
103228,B
103229,B
103230,B
103231,D
103232,C
103233,C
103234,B
103235,B
103236,C
103237,C
103238,B
103239,A
103240,B
103241,B
103242,A
103243,C
103244,D
103245,A
103246,B
103247,A
103248,C
103249,C
103250,A
103251,C
103252,B
103253,D
103254,A
103255,A
103256,A
103257,C
103258,D
103259,C
103260,D
103261,B
103262,A
103263,C
103264,A
103265,C
103266,D
103267,A
103268,A
103269,B
103270,B
103271,C
103272,B
103273,B
103274,A
103275,D
103276,A
103277,A
103278,A
103279,A
103280,C
103281,C
103282,D
103283,C
103284,B
103285,D
103286,B
103287,C
103288,C
103289,B
103290,C
103291,B
103292,C
103293,A
103294,C
103295,A
103296,A
103297,B
103298,C
103299,C
103300,B
103301,A
103302,C
103303,A
103304,C
103305,D
103306,C
103307,C
103308,A
103309,C
103310,D
103311,D
103312,A
103313,C
103314,D
103315,D
103316,B
103317,A
103318,D
103319,C
103320,A
103321,B
103322,A
103323,C
103324,C
103325,D
103326,D
103327,B
103328,D
103329,B
103330,C
103331,B
103332,A
103333,A
103334,D
103335,C
103336,C
103337,D
103338,C
103339,D
103340,D
103341,B
103342,C
103343,D
103344,B
103345,C
103346,A
103347,D
103348,C
103349,D
103350,B
103351,D
103352,D
103353,B
103354,B
103355,B
103356,C
103357,A
103358,B
103359,D
103360,C
103361,A
103362,B
103363,B
103364,C
103365,B
103366,D
103367,A
103368,C
103369,B
103370,D
103371,C
103372,C
103373,D
103374,A
103375,C
103376,A
103377,B
103378,C
103379,C
103380,B
103381,A
103382,D
103383,A
103384,A
103385,D
103386,B
103387,B
103388,A
103389,C
103390,C
103391,D
103392,A
103393,C
103394,C
103395,B
103396,D
103397,C
103398,C
103399,D
103400,C
103401,D
103402,C
103403,B
103404,A
103405,C
103406,C
103407,C
103408,D
103409,B
103410,C
103411,D
103412,A
103413,D
103414,C
103415,D
103416,C
103417,B
103418,D
103419,B
103420,A
103421,A
103422,C
103423,B
103424,D
103425,D
103426,B
103427,D
103428,D
103429,B
103430,D
103431,B
103432,A
103433,A
103434,C
103435,A
103436,C
103437,C
103438,A
103439,C
103440,C
103441,C
103442,B
103443,D
103444,D
103445,D
103446,D
103447,D
103448,D
103449,C
103450,B
103451,D
103452,C
103453,A
103454,D
103455,B
103456,D
103457,B
103458,B
103459,D
103460,B
103461,C
103462,D
103463,B
103464,A
103465,D
103466,D
103467,C
103468,A
103469,A
103470,A
103471,D
103472,A
103473,A
103474,B
103475,D
103476,B
103477,C
103478,C
103479,B
103480,B
103481,C
103482,C
103483,D
103484,D
103485,B
103486,A
103487,C
103488,D
103489,B
103490,B
103491,B
103492,D
103493,A
103494,D
103495,B
103496,A
103497,B
103498,D
103499,B
103500,D
103501,B
103502,B
