VisitNumber,TripType
5,999
7,30
8,26
9,8
10,8
11,35
12,41
15,21
17,6
19,42
20,7
23,9
25,8
26,39
28,25
29,8
30,9
31,8
32,8
33,8
40,8
41,8
42,8
43,38
45,8
47,35
49,15
50,9
51,8
53,8
54,8
55,15
56,8
57,8
61,26
63,36
68,9
69,20
72,7
74,8
76,7
79,39
81,9
83,36
84,9
85,8
86,37
87,7
91,8
92,32
93,8
95,8
97,38
98,40
99,8
100,37
102,8
103,8
105,5
106,3
107,8
110,8
117,8
121,3
123,15
124,8
125,6
130,4
132,9
133,999
134,8
137,7
138,39
139,8
140,24
145,33
146,8
152,40
153,3
154,35
155,8
162,3
164,3
177,3
179,35
181,3
182,999
185,21
188,3
189,9
190,999
194,43
195,8
199,7
203,3
205,6
207,999
209,31
210,38
211,35
214,42
216,38
217,42
218,5
219,9
220,24
221,8
223,32
224,39
225,8
228,35
229,8
232,8
235,32
236,8
238,9
239,8
241,8
245,32
248,33
251,33
252,35
253,999
255,40
256,37
257,9
259,27
261,999
263,9
265,3
267,8
274,40
275,25
277,9
278,36
279,4
281,999
283,40
284,8
285,5
286,8
287,40
288,31
289,8
290,3
291,9
292,9
295,999
298,9
302,7
308,7
309,8
310,9
312,8
313,8
314,39
315,39
316,34
317,999
322,3
323,9
324,9
325,9
326,36
328,3
330,8
333,999
334,8
335,9
341,39
343,8
344,8
346,33
347,8
348,3
349,32
350,9
351,999
357,999
358,40
359,3
360,6
361,25
362,42
363,9
367,9
369,3
371,18
372,35
373,8
375,42
377,9
378,21
379,40
382,5
383,3
384,8
385,38
386,35
387,25
388,35
389,9
390,8
393,39
394,35
396,29
397,37
398,27
399,3
400,999
402,25
403,999
407,999
408,43
409,999
412,3
413,7
418,5
419,20
420,9
421,42
425,3
427,40
430,39
431,39
433,4
436,999
437,999
446,33
447,5
448,8
449,25
452,29
453,39
456,3
457,44
458,32
460,5
461,20
462,25
465,3
466,38
468,8
472,4
473,38
474,36
475,27
476,999
479,39
481,24
482,25
484,999
487,7
488,8
491,39
494,36
496,44
497,3
499,9
500,7
501,9
503,3
504,9
505,36
507,25
511,999
513,42
514,9
516,8
517,39
519,9
521,5
522,42
524,3
531,38
534,8
538,33
540,999
542,39
549,40
550,32
551,999
553,42
554,9
556,9
558,39
562,9
563,30
565,8
566,999
567,25
569,8
570,33
574,999
576,25
577,38
578,3
580,9
581,999
583,999
584,39
585,5
589,8
592,40
593,18
594,26
604,25
605,7
613,6
614,36
615,3
619,5
620,8
621,3
626,24
627,25
628,42
629,24
630,7
631,36
638,24
639,3
640,5
644,9
645,35
646,9
647,7
648,9
650,999
651,3
652,9
653,35
654,8
657,8
661,999
664,3
666,31
668,9
669,7
670,9
676,15
679,8
680,36
683,5
684,999
685,999
686,36
687,5
688,39
690,38
693,999
696,39
699,18
700,3
701,9
702,8
715,8
716,37
717,3
718,8
719,9
720,8
721,7
722,37
724,31
725,40
728,3
729,39
731,38
732,30
734,9
735,37
736,25
737,30
741,30
743,3
745,42
747,39
750,43
754,999
760,7
762,36
765,24
767,24
770,5
772,25
773,999
775,3
776,43
778,8
781,999
784,40
785,8
787,5
792,37
794,8
796,36
798,8
800,7
801,35
802,7
804,3
806,39
808,39
814,3
815,999
816,41
817,36
818,3
819,8
821,18
825,5
826,25
828,27
829,999
831,39
834,9
837,8
838,3
839,5
841,3
844,999
845,32
847,9
848,31
851,8
852,38
856,9
858,3
860,9
861,3
863,5
867,9
868,39
871,26
873,30
876,9
879,8
880,42
881,19
882,999
885,7
888,3
890,39
891,9
896,6
897,5
898,9
903,24
904,999
905,9
906,7
908,40
909,37
910,999
913,8
914,999
915,5
921,9
924,36
925,21
927,40
928,999
930,32
934,9
935,9
936,999
938,9
942,3
943,25
944,3
946,9
947,5
949,8
950,999
954,3
955,8
956,8
957,42
958,36
962,36
965,36
966,8
973,999
974,8
975,7
978,40
982,999
984,33
985,39
987,9
990,40
991,7
994,9
996,9
997,8
998,9
999,9
1000,9
1002,999
1003,40
1004,40
1006,38
1009,43
1012,7
1013,999
1015,8
1017,24
1018,25
1021,7
1022,32
1025,40
1028,25
1029,7
1031,9
1032,999
1034,27
1035,35
1036,5
1037,3
1038,9
1040,21
1041,24
1042,37
1043,9
1044,7
1046,39
